county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,State fips,death_rate_confirmed,death_rate,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Census,Estimates Base,comfirmed_cases/population
Autauga,Alabama,1001,2417,36,2165,33,1,0.015242494,0.014894497,0.053,0.074,0.134,0.295,0.444,54571,54597,0.039673086
Baldwin,Alabama,1003,7523,84,6309,80,1,0.012680298,0.011165758,0.083,0.059,0.098,0.323,0.436,182265,182265,0.034614435
Barbour,Alabama,1005,1117,9,765,9,1,0.011764706,0.008057296,0.067,0.121,0.12,0.201,0.491,27457,27455,0.027861747
Bibb,Alabama,1007,973,17,873,13,1,0.01489118,0.017471737,0.02,0.034,0.096,0.278,0.572,22915,22915,0.038097316
Blount,Alabama,1009,2488,34,1904,33,1,0.017331933,0.013665595,0.053,0.114,0.18,0.194,0.459,57322,57322,0.033215868
Bullock,Alabama,1011,673,19,631,15,1,0.023771791,0.028231798,0.031,0.04,0.144,0.286,0.5,10914,10911,0.05781565
Butler,Alabama,1013,1068,41,1014,40,1,0.039447732,0.038389513,0.102,0.053,0.257,0.137,0.451,20947,20940,0.048407887
Calhoun,Alabama,1015,5429,77,4577,68,1,0.014856893,0.014183091,0.152,0.108,0.13,0.167,0.442,118572,118526,0.038601019
Chambers,Alabama,1017,1545,48,1005,41,1,0.04079602,0.031067961,0.117,0.037,0.15,0.136,0.56,34215,34169,0.029373082
Cherokee,Alabama,1019,892,15,642,14,1,0.021806854,0.016816143,0.135,0.027,0.161,0.158,0.52,25989,25979,0.024702759
Chilton,Alabama,1021,2053,36,1847,29,1,0.015701137,0.017535314,0.06,0.07,0.058,0.194,0.618,43643,43632,0.042320647
Choctaw,Alabama,1023,409,12,376,12,1,0.031914894,0.029339853,0.049,0.038,0.126,0.219,0.568,13859,13858,0.027130385
Clarke,Alabama,1025,1485,18,1211,16,1,0.013212221,0.012121212,0.049,0.088,0.164,0.268,0.43,25833,25833,0.046878024
Clay,Alabama,1027,833,13,715,13,1,0.018181818,0.015606242,0.148,0.158,0.195,0.169,0.329,13932,13930,0.051320701
Cleburne,Alabama,1029,655,11,610,11,1,0.018032787,0.016793893,0.151,0.125,0.138,0.217,0.368,14972,14972,0.04074272
Coffee,Alabama,1031,2116,12,1584,7,1,0.004419192,0.005671078,0.101,0.152,0.094,0.186,0.466,49948,49955,0.031712982
Colbert,Alabama,1033,2681,38,2201,35,1,0.015901863,0.014173816,0.082,0.096,0.152,0.159,0.51,54428,54428,0.040438745
Conecuh,Alabama,1035,637,14,518,14,1,0.027027027,0.021978022,0.099,0.052,0.259,0.192,0.399,13228,13236,0.039159359
Coosa,Alabama,1037,257,3,169,3,1,0.017751479,0.011673152,0.055,0.131,0.167,0.263,0.384,11539,11756,0.014645983
Covington,Alabama,1039,2008,32,1132,29,1,0.025618375,0.015936255,0.187,0.128,0.129,0.201,0.356,37765,37762,0.029974844
Crenshaw,Alabama,1041,669,30,517,29,1,0.056092843,0.044843049,0.06,0.091,0.199,0.233,0.416,13906,13893,0.037178196
Cullman,Alabama,1043,3596,30,2683,23,1,0.008572493,0.008342603,0.13,0.024,0.249,0.217,0.379,80406,80406,0.033368157
Dale,Alabama,1045,2142,54,1568,54,1,0.034438776,0.025210084,0.089,0.113,0.118,0.22,0.46,50251,50251,0.031203359
Dallas,Alabama,1047,2043,28,1669,26,1,0.015578191,0.013705335,0.095,0.1,0.159,0.122,0.524,43820,43813,0.038087631
DeKalb,Alabama,1049,4118,34,3778,33,1,0.00873478,0.008256435,0.084,0.051,0.106,0.179,0.58,71109,71120,0.053129702
Elmore,Alabama,1051,3587,61,3092,57,1,0.01843467,0.017005854,0.042,0.095,0.127,0.252,0.485,79303,79272,0.038989698
Escambia,Alabama,1053,1862,31,1481,30,1,0.020256583,0.016648765,0.114,0.026,0.188,0.285,0.387,38319,38320,0.038649234
Etowah,Alabama,1055,5187,60,4529,58,1,0.012806359,0.01156738,0.096,0.103,0.178,0.122,0.501,104430,104429,0.043368764
Fayette,Alabama,1057,714,15,615,13,1,0.021138211,0.021008403,0.138,0.048,0.151,0.233,0.429,17241,17235,0.035670785
Franklin,Alabama,1059,2309,33,2129,33,1,0.015500235,0.014291901,0.065,0.071,0.223,0.156,0.484,31704,31709,0.06715241
Geneva,Alabama,1061,1078,8,752,8,1,0.010638298,0.00742115,0.176,0.131,0.089,0.158,0.445,26790,26781,0.028070175
Greene,Alabama,1063,369,17,341,15,1,0.04398827,0.046070461,0.03,0.053,0.127,0.167,0.623,9045,9039,0.037700387
Hale,Alabama,1065,851,30,754,29,1,0.038461538,0.035252644,0.026,0.061,0.084,0.191,0.639,15760,15762,0.04784264
Henry,Alabama,1067,807,6,496,5,1,0.010080645,0.007434944,0.066,0.068,0.17,0.258,0.438,17302,17299,0.028667206
Houston,Alabama,1069,4688,37,2639,28,1,0.01061008,0.007892491,0.085,0.079,0.135,0.268,0.433,101547,101560,0.025987966
Jackson,Alabama,1071,2644,23,2476,21,1,0.008481422,0.008698941,0.092,0.089,0.11,0.249,0.46,53227,53223,0.046517745
Jefferson,Alabama,1073,27264,454,25845,432,1,0.016715032,0.016651995,0.049,0.037,0.107,0.179,0.628,658466,658567,0.039250318
Lamar,Alabama,1075,579,7,488,6,1,0.012295082,0.01208981,0.107,0.045,0.132,0.189,0.527,14564,14564,0.033507278
Lauderdale,Alabama,1077,3221,51,2320,47,1,0.020258621,0.015833592,0.093,0.119,0.141,0.179,0.469,92709,92709,0.025024539
Lawrence,Alabama,1079,1050,35,955,35,1,0.036649215,0.033333333,0.162,0.08,0.088,0.251,0.419,34339,34337,0.027810944
Lee,Alabama,1081,7122,65,4511,51,1,0.011305697,0.00912665,0.053,0.064,0.138,0.183,0.562,140247,140287,0.032164681
Limestone,Alabama,1083,3577,41,3401,40,1,0.011761247,0.011462119,0.102,0.034,0.133,0.336,0.395,82782,82786,0.04108381
Lowndes,Alabama,1085,755,29,710,27,1,0.038028169,0.038410596,0.12,0.073,0.145,0.199,0.464,11299,11296,0.062837419
Macon,Alabama,1087,646,20,570,16,1,0.028070175,0.030959752,0.008,0.033,0.241,0.172,0.545,21452,21448,0.026570949
Madison,Alabama,1089,11002,118,10329,106,1,0.010262368,0.010725323,0.062,0.05,0.123,0.177,0.589,334811,334807,0.030850241
Marengo,Alabama,1091,1123,24,1058,22,1,0.020793951,0.021371327,0.033,0.151,0.118,0.186,0.512,21027,21048,0.05031626
Marion,Alabama,1093,1258,32,1107,31,1,0.028003613,0.025437202,0.129,0.064,0.246,0.207,0.353,30776,30776,0.035969587
Marshall,Alabama,1095,5159,53,4699,52,1,0.011066184,0.010273309,0.075,0.064,0.129,0.253,0.479,93019,93019,0.050516561
Mobile,Alabama,1097,18319,336,15067,326,1,0.021636689,0.018341613,0.077,0.07,0.102,0.244,0.506,412992,413139,0.036482547
Monroe,Alabama,1099,719,10,518,9,1,0.017374517,0.013908206,0.112,0.041,0.182,0.288,0.378,23068,23067,0.022455349
Montgomery,Alabama,1101,11449,221,10739,211,1,0.019648012,0.019302996,0.056,0.095,0.123,0.212,0.513,229363,229375,0.046820978
Morgan,Alabama,1103,5270,41,4951,39,1,0.007877197,0.007779886,0.078,0.077,0.082,0.304,0.459,119490,119490,0.04143443
Perry,Alabama,1105,634,6,575,6,1,0.010434783,0.009463722,0.025,0.084,0.087,0.187,0.618,10591,10575,0.054291379
Pickens,Alabama,1107,1053,18,884,14,1,0.015837104,0.017094017,0.031,0.06,0.169,0.157,0.584,19746,19746,0.044768561
Pike,Alabama,1109,1482,14,1066,11,1,0.010318949,0.009446694,0.06,0.131,0.145,0.333,0.33,32899,32901,0.032402201
Randolph,Alabama,1111,933,20,775,17,1,0.021935484,0.021436227,0.158,0.226,0.105,0.144,0.368,22913,22916,0.033823594
Russell,Alabama,1113,2047,3,1875,3,1,0.0016,0.001465559,0.069,0.067,0.08,0.213,0.57,52947,52963,0.035412771
Shelby,Alabama,1117,8792,73,7737,60,1,0.007754944,0.008303003,0.022,0.075,0.118,0.24,0.545,195085,195253,0.039659636
St. Clair,Alabama,1115,3668,54,3140,53,1,0.016878981,0.014721919,0.027,0.134,0.144,0.2,0.495,83593,83350,0.037562954
Sumter,Alabama,1119,521,21,492,20,1,0.040650407,0.040307102,0.055,0.068,0.118,0.197,0.562,13763,13763,0.03574802
Talladega,Alabama,1121,3083,41,2055,38,1,0.018491484,0.013298735,0.113,0.15,0.208,0.169,0.361,82291,82353,0.024972354
Tallapoosa,Alabama,1123,1564,88,1233,87,1,0.070559611,0.056265985,0.067,0.095,0.136,0.296,0.406,41616,41618,0.029628028
Tuscaloosa,Alabama,1125,11566,148,8243,118,1,0.014315177,0.012796127,0.041,0.036,0.144,0.247,0.532,194656,194667,0.042346498
Walker,Alabama,1127,3252,96,2971,90,1,0.030292831,0.029520295,0.09,0.081,0.145,0.256,0.429,67023,67020,0.044328066
Washington,Alabama,1129,865,12,678,12,1,0.017699115,0.013872832,0.018,0.077,0.102,0.307,0.495,17581,17580,0.038564359
Wilcox,Alabama,1131,602,12,527,12,1,0.022770398,0.019933555,0.061,0.098,0.199,0.187,0.455,11670,11664,0.045158526
Winston,Alabama,1133,1119,22,989,21,1,0.021233569,0.019660411,0.13,0.046,0.328,0.183,0.312,24484,24488,0.040393727
Aleutians East Borough,Alaska,2013,19,0,,,2,,0,0.067,0.032,0.034,0.316,0.551,3141,3141,
Aleutians West Census Area,Alaska,2016,105,0,,,2,,0,0.078,0.031,0.03,0.337,0.524,5561,5561,
Bethel Census Area,Alaska,2050,854,1,,,2,,0.00117096,0.101,0.022,0.014,0.45,0.413,17013,17013,
Bristol Bay Borough,Alaska,2060,76,0,,,2,,0,0.048,0.037,0.042,0.308,0.564,997,997,
Denali Borough,Alaska,2068,37,0,,,2,,0,0.062,0.081,0.067,0.225,0.565,1826,1822,
Dillingham Census Area,Alaska,2070,77,0,,,2,,0,0.072,0.025,0.027,0.391,0.484,4847,4847,
Fairbanks North Star Borough,Alaska,2090,2662,17,,,2,,0.006386176,0.094,0.084,0.175,0.234,0.413,97581,97585,
Haines Borough,Alaska,2100,16,0,,,2,,0,0.055,0.05,0.123,0.419,0.352,2508,2508,
Juneau City and Borough,Alaska,2110,681,2,,,2,,0.002936858,0.051,0.067,0.133,0.396,0.353,31275,31276,
Kenai Peninsula Borough,Alaska,2122,1548,3,,,2,,0.001937984,0.043,0.047,0.051,0.197,0.662,55400,55400,
Ketchikan Gateway Borough,Alaska,2130,150,0,,,2,,0,0.025,0.149,0.174,0.256,0.396,13477,13526,
Kodiak Island Borough,Alaska,2150,153,0,,,2,,0,0.042,0.043,0.049,0.233,0.633,13592,13606,
Kusilvak Census Area,Alaska,2158,351,0,,,2,,0,0.103,0.022,0.007,0.521,0.347,7459,7459,
Lake and Peninsula Borough,Alaska,2164,5,0,,,2,,0,0.055,0.036,0.04,0.299,0.571,1631,1635,
Matanuska-Susitna Borough,Alaska,2170,2156,5,,,2,,0.002319109,0.042,0.051,0.048,0.198,0.66,88995,88985,
Nome Census Area,Alaska,2180,157,0,,,2,,0,0.086,0.061,0.009,0.544,0.3,9492,9492,
North Slope Borough,Alaska,2185,356,0,,,2,,0,0.036,0.059,0.235,0.215,0.455,9430,9430,
Northwest Arctic Borough,Alaska,2188,301,0,,,2,,0,0.035,0.188,0.051,0.474,0.252,7523,7523,
Petersburg Borough,Alaska,2195,19,0,,,2,,0,0.042,0.095,0.148,0.349,0.365,3815,3207,
Prince of Wales-Hyder Census Area,Alaska,2198,40,1,,,2,,0.025,0.033,0.125,0.161,0.3,0.38,5559,6168,
Sitka City and Borough,Alaska,2220,109,0,,,2,,0,0.048,0.077,0.137,0.381,0.357,8881,8881,
Skagway Municipality,Alaska,2230,7,0,,,2,,0,0.058,0.038,0.116,0.435,0.354,968,968,
Southeast Fairbanks Census Area,Alaska,2240,126,1,,,2,,0.007936508,0.064,0.071,0.14,0.272,0.453,7029,7029,
Valdez-Cordova Census Area,Alaska,2261,206,1,,,2,,0.004854369,0.04,0.049,0.052,0.197,0.663,9636,9636,
Wrangell City and Borough,Alaska,2275,19,0,,,2,,0,0.035,0.119,0.16,0.312,0.374,2369,2365,
Yukon-Koyukuk Census Area,Alaska,2290,132,2,,,2,,0.015151515,0.044,0.047,0.126,0.425,0.358,5588,5588,
Apache,Arizona,4001,4293,187,,,4,,0.043559283,0.055,0.063,0.031,0.15,0.701,71518,71517,
Cochise,Arizona,4003,2672,76,2672,74,4,0.027694611,0.028443114,0.053,0.025,0.147,0.194,0.581,131346,131359,0.020343216
Coconino,Arizona,4005,6221,153,,,4,,0.024594117,0.039,0.08,0.07,0.11,0.702,134421,134426,
Gila,Arizona,4007,2302,77,,,4,,0.033449175,0.073,0.014,0.03,0.336,0.547,53597,53592,
Graham,Arizona,4009,1620,31,,,4,,0.019135802,0.095,0.067,0.237,0.049,0.553,37220,37212,
Greenlee,Arizona,4011,127,2,,,4,,0.015748031,0.111,0.089,0.167,0.089,0.544,8437,8444,
La Paz,Arizona,4012,670,18,,,4,,0.026865672,0.031,0.064,0.162,0.173,0.57,20489,20489,
Maricopa,Arizona,4013,173772,3774,,,4,,0.021718113,0.023,0.025,0.059,0.158,0.734,3817117,3817365,
Mohave,Arizona,4015,4973,242,4819,226,4,0.046897697,0.048662779,0.051,0.096,0.104,0.164,0.585,200186,200182,0.024072612
Navajo,Arizona,4017,7051,259,,,4,,0.036732378,0.091,0.108,0.059,0.139,0.602,107449,107488,
Pima,Arizona,4019,31874,669,,,4,,0.020988894,0.023,0.024,0.073,0.121,0.759,980263,980263,
Pinal,Arizona,4021,13220,236,,,4,,0.01785174,0.033,0.055,0.096,0.148,0.667,375770,375764,
Santa Cruz,Arizona,4023,3235,66,3234,66,4,0.020408163,0.020401855,0.028,0.002,0.058,0.074,0.837,47420,47420,0.068199072
Yavapai,Arizona,4025,3562,102,3562,101,4,0.028354857,0.028635598,0.031,0.073,0.081,0.176,0.639,211033,211017,0.016878877
Yuma,Arizona,4027,15004,365,15001,365,4,0.024331711,0.024326846,0.008,0.013,0.046,0.129,0.804,195751,195750,0.07663307
Arkansas,Arkansas,5001,818,20,673,20,5,0.029717682,0.024449878,0.019,0.073,0.134,0.216,0.557,19019,19007,0.035385667
Ashley,Arkansas,5003,672,13,616,13,5,0.021103896,0.019345238,0.023,0.103,0.163,0.117,0.595,21853,21845,0.028188349
Baxter,Arkansas,5005,1049,17,825,17,5,0.020606061,0.01620591,0.15,0.104,0.108,0.104,0.534,41513,41511,0.019873293
Benton,Arkansas,5007,10127,133,8807,116,5,0.013171341,0.013133208,0.081,0.034,0.083,0.16,0.643,221339,221348,0.039789644
Boone,Arkansas,5009,1327,40,1151,38,5,0.03301477,0.03014318,0.129,0.145,0.122,0.189,0.416,36903,36920,0.031189876
Bradley,Arkansas,5011,391,8,371,7,5,0.018867925,0.020460358,0.094,0.102,0.175,0.184,0.445,11508,11505,0.032238443
Calhoun,Arkansas,5013,100,0,91,0,5,0,0,0.145,0.132,0.108,0.211,0.404,5368,5368,0.01695231
Carroll,Arkansas,5015,1156,21,1095,21,5,0.019178082,0.01816609,0.111,0.068,0.115,0.129,0.577,27446,27449,0.039896524
Chicot,Arkansas,5017,1082,24,1059,23,5,0.021718602,0.022181146,0.104,0.074,0.193,0.097,0.531,11800,11800,0.089745763
Clark,Arkansas,5019,667,6,578,6,5,0.010380623,0.008995502,0.08,0.091,0.08,0.231,0.518,22995,22991,0.025135899
Clay,Arkansas,5021,652,17,552,14,5,0.025362319,0.02607362,0.082,0.124,0.157,0.242,0.395,16083,16083,0.034321955
Cleburne,Arkansas,5023,581,18,492,18,5,0.036585366,0.030981067,0.036,0.065,0.093,0.259,0.546,25970,25964,0.018944936
Cleveland,Arkansas,5025,297,13,251,12,5,0.047808765,0.043771044,0.107,0.03,0.16,0.231,0.472,8689,8692,0.028887099
Columbia,Arkansas,5027,852,22,692,22,5,0.031791908,0.025821596,0.241,0.072,0.054,0.25,0.383,24552,24552,0.028185077
Conway,Arkansas,5029,466,5,430,5,5,0.011627907,0.010729614,0.071,0.12,0.137,0.347,0.325,21273,21267,0.020213416
Craighead,Arkansas,5031,5885,59,5385,55,5,0.010213556,0.010025489,0.078,0.123,0.138,0.341,0.32,96443,96443,0.05583609
Crawford,Arkansas,5033,2579,33,2365,31,5,0.013107822,0.012795657,0.155,0.1,0.167,0.211,0.367,61948,61935,0.038177181
Crittenden,Arkansas,5035,2850,53,2719,46,5,0.016917985,0.018596491,0.059,0.017,0.11,0.306,0.508,50902,50907,0.053416369
Cross,Arkansas,5037,663,24,587,22,5,0.037478705,0.036199095,0.097,0.017,0.163,0.319,0.404,17870,17878,0.032848349
Dallas,Arkansas,5039,224,6,218,6,5,0.027522936,0.026785714,0.197,0.055,0.093,0.196,0.459,8116,8124,0.026860522
Desha,Arkansas,5041,472,8,440,7,5,0.015909091,0.016949153,0.078,0.033,0.19,0.189,0.509,13008,13002,0.033825338
Drew,Arkansas,5043,503,7,451,6,5,0.013303769,0.013916501,0.063,0.049,0.207,0.159,0.523,18509,18517,0.024366524
Faulkner,Arkansas,5045,4009,44,3620,38,5,0.010497238,0.010975306,0.066,0.027,0.077,0.403,0.426,113237,113238,0.03196835
Franklin,Arkansas,5047,646,4,577,4,5,0.006932409,0.00619195,0.149,0.079,0.245,0.187,0.34,18125,18137,0.031834483
Fulton,Arkansas,5049,423,12,336,10,5,0.029761905,0.028368794,0.105,0.121,0.226,0.197,0.351,12245,12236,0.027439771
Garland,Arkansas,5051,3164,82,2968,77,5,0.025943396,0.025916561,0.025,0.102,0.068,0.21,0.596,96024,95999,0.030908939
Grant,Arkansas,5053,439,4,387,4,5,0.010335917,0.009111617,0.082,0.043,0.127,0.258,0.489,17853,17842,0.021677029
Greene,Arkansas,5055,2130,24,1803,22,5,0.012201886,0.011267606,0.062,0.141,0.154,0.346,0.297,42090,42090,0.042836778
Hempstead,Arkansas,5057,711,5,610,5,5,0.008196721,0.007032349,0.098,0.073,0.096,0.179,0.554,22609,22587,0.026980406
Hot Spring,Arkansas,5059,2551,39,2490,37,5,0.014859438,0.015288122,0.059,0.086,0.079,0.216,0.56,32923,33011,0.075631018
Howard,Arkansas,5061,709,15,604,15,5,0.024834437,0.021156559,0.081,0.07,0.145,0.145,0.56,13789,13781,0.043803031
Independence,Arkansas,5063,1824,68,1450,58,5,0.04,0.037280702,0.137,0.156,0.088,0.179,0.44,36647,36641,0.039566677
Izard,Arkansas,5065,869,4,802,4,5,0.004987531,0.004602992,0.086,0.121,0.133,0.23,0.43,13696,13703,0.058557243
Jackson,Arkansas,5067,1220,6,971,5,5,0.005149331,0.004918033,0.116,0.103,0.135,0.179,0.468,17997,17998,0.053953437
Jefferson,Arkansas,5069,4714,103,4457,98,5,0.021987884,0.021849809,0.042,0.036,0.172,0.173,0.577,77435,77456,0.057557952
Johnson,Arkansas,5071,1129,11,1068,10,5,0.009363296,0.009743136,0.144,0.103,0.205,0.221,0.328,25540,25545,0.041816758
Lafayette,Arkansas,5073,228,3,190,3,5,0.015789474,0.013157895,0.12,0.082,0.078,0.234,0.486,7645,7643,0.024852845
Lawrence,Arkansas,5075,998,25,879,25,5,0.028441411,0.0250501,0.085,0.128,0.153,0.298,0.337,17415,17410,0.05047373
