County,STATE,fips,Census,Estimates Base
Jasper, Indiana,18073,33478,33481
Jay, Indiana,18075,21253,21253
Jefferson, Indiana,18077,32428,32400
Jennings, Indiana,18079,28525,28529
Johnson, Indiana,18081,139654,139855
Knox, Indiana,18083,38440,38440
Kosciusko, Indiana,18085,77358,77355
LaGrange, Indiana,18087,37128,37131
Lake, Indiana,18089,496005,496108
LaPorte, Indiana,18091,111467,111466
Lawrence, Indiana,18093,46134,46129
Madison, Indiana,18095,131636,131637
Marion, Indiana,18097,903393,903375
Marshall, Indiana,18099,47051,47050
Martin, Indiana,18101,10334,10380
Miami, Indiana,18103,36903,36905
Monroe, Indiana,18105,137974,137962
Montgomery, Indiana,18107,38124,38121
Morgan, Indiana,18109,68894,68926
Newton, Indiana,18111,14244,14239
Noble, Indiana,18113,47536,47538
Ohio, Indiana,18115,6128,6098
Orange, Indiana,18117,19840,19846
Owen, Indiana,18119,21575,21573
Parke, Indiana,18121,17339,17349
Perry, Indiana,18123,19338,19338
Pike, Indiana,18125,12845,12700
Porter, Indiana,18127,164343,164289
Posey, Indiana,18129,25910,25912
Pulaski, Indiana,18131,13402,13382
Putnam, Indiana,18133,37963,37945
Randolph, Indiana,18135,26171,26176
Ripley, Indiana,18137,28818,28812
Rush, Indiana,18139,17392,17392
St. Joseph, Indiana,18141,266931,266914
Scott, Indiana,18143,24181,24195
Shelby, Indiana,18145,44436,44379
Spencer, Indiana,18147,20952,20955
Starke, Indiana,18149,23363,23362
Steuben, Indiana,18151,34185,34147
Sullivan, Indiana,18153,21475,21475
Switzerland, Indiana,18155,10613,10687
Tippecanoe, Indiana,18157,172780,172803
Tipton, Indiana,18159,15936,15936
Union, Indiana,18161,7516,7516
Vanderburgh, Indiana,18163,179703,179701
Vermillion, Indiana,18165,16212,16210
Vigo, Indiana,18167,107848,107852
Wabash, Indiana,18169,32888,32888
Warren, Indiana,18171,8508,8511
Warrick, Indiana,18173,59689,59689
Washington, Indiana,18175,28262,28254
Wayne, Indiana,18177,68917,68996
Wells, Indiana,18179,27636,27637
White, Indiana,18181,24643,24638
Whitley, Indiana,18183,33292,33287
Adair, Iowa,19001,7682,7682
Adams, Iowa,19003,4029,4029
Allamakee, Iowa,19005,14330,14328
Appanoose, Iowa,19007,12887,12887
Audubon, Iowa,19009,6119,6119
Benton, Iowa,19011,26076,26069
Black Hawk, Iowa,19013,131090,131086
Boone, Iowa,19015,26306,26308
Bremer, Iowa,19017,24276,24280
Buchanan, Iowa,19019,20958,20953
Buena Vista, Iowa,19021,20260,20265
Butler, Iowa,19023,14867,14869
Calhoun, Iowa,19025,9670,10177
Carroll, Iowa,19027,20816,20816
Cass, Iowa,19029,13956,13952
Cedar, Iowa,19031,18499,18441
Cerro Gordo, Iowa,19033,44151,44153
Cherokee, Iowa,19035,12072,12067
Chickasaw, Iowa,19037,12439,12442
Clarke, Iowa,19039,9286,9286
Clay, Iowa,19041,16667,16667
Clayton, Iowa,19043,18129,18128
Clinton, Iowa,19045,49116,49117
Crawford, Iowa,19047,17096,17096
Dallas, Iowa,19049,66135,66139
Davis, Iowa,19051,8753,8753
Decatur, Iowa,19053,8457,8456
Delaware, Iowa,19055,17764,17770
Des Moines, Iowa,19057,40325,40325
Dickinson, Iowa,19059,16667,16667
Dubuque, Iowa,19061,93653,93643
Emmet, Iowa,19063,10302,10302
Fayette, Iowa,19065,20880,20882
Floyd, Iowa,19067,16303,16293
Franklin, Iowa,19069,10680,10680
Fremont, Iowa,19071,7441,7438
Greene, Iowa,19073,9336,9337
Grundy, Iowa,19075,12453,12453
Guthrie, Iowa,19077,10954,10955
Hamilton, Iowa,19079,15673,15675
Hancock, Iowa,19081,11341,11338
Hardin, Iowa,19083,17534,17534
Harrison, Iowa,19085,14928,14937
Henry, Iowa,19087,20145,20145
Howard, Iowa,19089,9566,9564
Humboldt, Iowa,19091,9815,9814
Ida, Iowa,19093,7089,7089
Iowa, Iowa,19095,16355,16356
Jackson, Iowa,19097,19848,19853
Jasper, Iowa,19099,36842,36842
Jefferson, Iowa,19101,16843,16840
Johnson, Iowa,19103,130882,130882
Jones, Iowa,19105,20638,20636
Keokuk, Iowa,19107,10511,10510
Kossuth, Iowa,19109,15543,15545
Lee, Iowa,19111,35862,35862
Linn, Iowa,19113,211226,211243
Louisa, Iowa,19115,11387,11387
Lucas, Iowa,19117,8898,8900
Lyon, Iowa,19119,11581,11581
Madison, Iowa,19121,15679,15681
Mahaska, Iowa,19123,22381,22382
Marion, Iowa,19125,33309,33307
Marshall, Iowa,19127,40648,40648
Mills, Iowa,19129,15059,15059
Mitchell, Iowa,19131,10776,10776
Monona, Iowa,19133,9243,9242
Monroe, Iowa,19135,7970,7972
Montgomery, Iowa,19137,10740,10740
Muscatine, Iowa,19139,42745,42803
O'Brien, Iowa,19141,14398,14398
Osceola, Iowa,19143,6462,6462
Page, Iowa,19145,15932,15946
Palo Alto, Iowa,19147,9421,9421
Plymouth, Iowa,19149,24986,24984
Pocahontas, Iowa,19151,7310,7310
Polk, Iowa,19153,430640,430631
Pottawattamie, Iowa,19155,93158,93149
Poweshiek, Iowa,19157,18914,18915
Ringgold, Iowa,19159,5131,5130
Sac, Iowa,19161,10350,10350
Scott, Iowa,19163,165224,165223
Shelby, Iowa,19165,12167,12169
Sioux, Iowa,19167,33704,33704
Story, Iowa,19169,89542,89542
Tama, Iowa,19171,17767,17767
Taylor, Iowa,19173,6317,6317
Union, Iowa,19175,12534,12534
Van Buren, Iowa,19177,7570,7571
Wapello, Iowa,19179,35625,35624
Warren, Iowa,19181,46225,46226
Washington, Iowa,19183,21704,21704
Wayne, Iowa,19185,6403,6403
Webster, Iowa,19187,38013,38011
Winnebago, Iowa,19189,10866,10874
Winneshiek, Iowa,19191,21056,21058
Woodbury, Iowa,19193,102172,102175
Worth, Iowa,19195,7598,7591
Wright, Iowa,19197,13229,13229
Allen, Kansas,20001,13371,13372
Anderson, Kansas,20003,8102,8102
Atchison, Kansas,20005,16924,16921
Barber, Kansas,20007,4861,4864
Barton, Kansas,20009,27674,27672
Bourbon, Kansas,20011,15173,15172
Brown, Kansas,20013,9984,9984
Butler, Kansas,20015,65880,65884
Chase, Kansas,20017,2790,2790
Chautauqua, Kansas,20019,3669,3669
Cherokee, Kansas,20021,21603,21607
Cheyenne, Kansas,20023,2726,2726
Clark, Kansas,20025,2215,2215
Clay, Kansas,20027,8535,8545
Cloud, Kansas,20029,9533,9533
Coffey, Kansas,20031,8601,8598
Comanche, Kansas,20033,1891,1891
Cowley, Kansas,20035,36311,36309
Crawford, Kansas,20037,39134,39135
Decatur, Kansas,20039,2961,2965
Dickinson, Kansas,20041,19754,19749
Doniphan, Kansas,20043,7945,7948
Douglas, Kansas,20045,110826,110826
Edwards, Kansas,20047,3037,3037
Elk, Kansas,20049,2882,2882
Ellis, Kansas,20051,28452,28452
Ellsworth, Kansas,20053,6497,6497
Finney, Kansas,20055,36776,36785
Ford, Kansas,20057,33848,33844
Franklin, Kansas,20059,25992,25996
Geary, Kansas,20061,34362,34356
Gove, Kansas,20063,2695,2701
Graham, Kansas,20065,2597,2588
Grant, Kansas,20067,7829,7824
Gray, Kansas,20069,6006,6001
Greeley, Kansas,20071,1247,1248
Greenwood, Kansas,20073,6689,6689
Hamilton, Kansas,20075,2690,2687
Harper, Kansas,20077,6034,6034
Harvey, Kansas,20079,34684,34684
Haskell, Kansas,20081,4256,4256
Hodgeman, Kansas,20083,1916,1918
Jackson, Kansas,20085,13462,13460
Jefferson, Kansas,20087,19126,19108
Jewell, Kansas,20089,3077,3073
Johnson, Kansas,20091,544179,544181
Kearny, Kansas,20093,3977,3982
Kingman, Kansas,20095,7858,7860
Kiowa, Kansas,20097,2553,2553
Labette, Kansas,20099,21607,21609
Lane, Kansas,20101,1750,1749
Leavenworth, Kansas,20103,76227,76220
Lincoln, Kansas,20105,3241,3241
Linn, Kansas,20107,9656,9656
Logan, Kansas,20109,2756,2759
Lyon, Kansas,20111,33690,33692
McPherson, Kansas,20113,29180,29186
Marion, Kansas,20115,12660,12660
Marshall, Kansas,20117,10117,10117
Meade, Kansas,20119,4575,4575
Miami, Kansas,20121,32787,32781
Mitchell, Kansas,20123,6373,6373
Montgomery, Kansas,20125,35471,35468
Morris, Kansas,20127,5923,5923
Morton, Kansas,20129,3233,3233
Nemaha, Kansas,20131,10178,10178
Neosho, Kansas,20133,16512,16511
Ness, Kansas,20135,3107,3107
Norton, Kansas,20137,5671,5669
Osage, Kansas,20139,16295,16294
Osborne, Kansas,20141,3858,3861
Ottawa, Kansas,20143,6091,6091
Pawnee, Kansas,20145,6973,6971
Phillips, Kansas,20147,5642,5640
Pottawatomie, Kansas,20149,21604,21608
Pratt, Kansas,20151,9656,9653
Rawlins, Kansas,20153,2519,2519
Reno, Kansas,20155,64511,64511
Republic, Kansas,20157,4980,4980
Rice, Kansas,20159,10083,10082
Riley, Kansas,20161,71115,71130
Rooks, Kansas,20163,5181,5181
Rush, Kansas,20165,3307,3307
Russell, Kansas,20167,6970,6967
Saline, Kansas,20169,55606,55604
Scott, Kansas,20171,4936,4936
Sedgwick, Kansas,20173,498365,498356
Seward, Kansas,20175,22952,22950
Shawnee, Kansas,20177,177934,177943
Sheridan, Kansas,20179,2556,2544
Sherman, Kansas,20181,6010,6010
Smith, Kansas,20183,3853,3853
Stafford, Kansas,20185,4437,4439
Stanton, Kansas,20187,2235,2236
Stevens, Kansas,20189,5724,5726
Sumner, Kansas,20191,24132,24137
Thomas, Kansas,20193,7900,7902
Trego, Kansas,20195,3001,3006
Wabaunsee, Kansas,20197,7053,7055
Wallace, Kansas,20199,1485,1485
Washington, Kansas,20201,5799,5794
Wichita, Kansas,20203,2234,2234
Wilson, Kansas,20205,9409,9406
Woodson, Kansas,20207,3309,3309
Wyandotte, Kansas,20209,157505,157523
Adair, Kentucky,21001,18656,18659
Allen, Kentucky,21003,19956,19958
Anderson, Kentucky,21005,21421,21462
Ballard, Kentucky,21007,8249,8246
Barren, Kentucky,21009,42173,42161
Bath, Kentucky,21011,11591,11587
Bell, Kentucky,21013,28691,28691
Boone, Kentucky,21015,118811,118810
Bourbon, Kentucky,21017,19985,20008
Boyd, Kentucky,21019,49542,49534
Boyle, Kentucky,21021,28432,28443
Bracken, Kentucky,21023,8488,8486
Breathitt, Kentucky,21025,13878,13876
Breckinridge, Kentucky,21027,20059,20053
Bullitt, Kentucky,21029,74319,74308
Butler, Kentucky,21031,12690,12697
Caldwell, Kentucky,21033,12984,12989
Calloway, Kentucky,21035,37191,37190
Campbell, Kentucky,21037,90336,90338
Carlisle, Kentucky,21039,5104,5097
Carroll, Kentucky,21041,10811,10807
Carter, Kentucky,21043,27720,27721
Casey, Kentucky,21045,15955,15960
Christian, Kentucky,21047,73955,73940
Clark, Kentucky,21049,35613,35603
Clay, Kentucky,21051,21730,21729
Clinton, Kentucky,21053,10272,10267
Crittenden, Kentucky,21055,9315,9315
Cumberland, Kentucky,21057,6856,6849
Daviess, Kentucky,21059,96656,96641
Edmonson, Kentucky,21061,12161,12177
Elliott, Kentucky,21063,7852,7850
Estill, Kentucky,21065,14672,14679
Fayette, Kentucky,21067,295803,295870
Fleming, Kentucky,21069,14348,14346
Floyd, Kentucky,21071,39451,39450
Franklin, Kentucky,21073,49285,49268
Fulton, Kentucky,21075,6813,6813
Gallatin, Kentucky,21077,8589,8586
Garrard, Kentucky,21079,16912,16905
Grant, Kentucky,21081,24662,24655
Graves, Kentucky,21083,37121,37151
Grayson, Kentucky,21085,25746,25749
Green, Kentucky,21087,11258,11255
Greenup, Kentucky,21089,36910,36906
Hancock, Kentucky,21091,8565,8565
Hardin, Kentucky,21093,105543,105537
Harlan, Kentucky,21095,29278,29278
Harrison, Kentucky,21097,18846,18850
Hart, Kentucky,21099,18199,18194
Henderson, Kentucky,21101,46250,46246
Henry, Kentucky,21103,15416,15413
Hickman, Kentucky,21105,4902,4903
Hopkins, Kentucky,21107,46920,46918
Jackson, Kentucky,21109,13494,13490
Jefferson, Kentucky,21111,741096,741075
Jessamine, Kentucky,21113,48586,48580
Johnson, Kentucky,21115,23356,23359
Kenton, Kentucky,21117,159720,159728
Knott, Kentucky,21119,16346,16364
Knox, Kentucky,21121,31883,31888
Larue, Kentucky,21123,14193,14181
Laurel, Kentucky,21125,58849,58849
Lawrence, Kentucky,21127,15860,15859
Lee, Kentucky,21129,7887,7887
Leslie, Kentucky,21131,11310,11310
Letcher, Kentucky,21133,24519,24511
Lewis, Kentucky,21135,13870,13883
Lincoln, Kentucky,21137,24742,24736
Livingston, Kentucky,21139,9519,9519
Logan, Kentucky,21141,26835,26832
Lyon, Kentucky,21143,8314,8319
McCracken, Kentucky,21145,65565,65539
McCreary, Kentucky,21147,18306,18306
McLean, Kentucky,21149,9531,9540
Madison, Kentucky,21151,82916,82913
Magoffin, Kentucky,21153,13333,13333
Marion, Kentucky,21155,19820,19835
Marshall, Kentucky,21157,31448,31448
Martin, Kentucky,21159,12929,12929
Mason, Kentucky,21161,17490,17490
Meade, Kentucky,21163,28602,28613
Menifee, Kentucky,21165,6306,6309
Mercer, Kentucky,21167,21331,21311
Metcalfe, Kentucky,21169,10099,10116
Monroe, Kentucky,21171,10963,10963
Montgomery, Kentucky,21173,26499,26507
Morgan, Kentucky,21175,13923,13921
Muhlenberg, Kentucky,21177,31499,31499
Nelson, Kentucky,21179,43437,43441
Nicholas, Kentucky,21181,7135,7129
Ohio, Kentucky,21183,23842,23854
Oldham, Kentucky,21185,60316,60356
Owen, Kentucky,21187,10841,10837
Owsley, Kentucky,21189,4755,4755
Pendleton, Kentucky,21191,14877,14874
Perry, Kentucky,21193,28712,28697
Pike, Kentucky,21195,65024,65029
Powell, Kentucky,21197,12613,12613
Pulaski, Kentucky,21199,63063,63061
Robertson, Kentucky,21201,2282,2282
Rockcastle, Kentucky,21203,17056,17056
Rowan, Kentucky,21205,23333,23336
Russell, Kentucky,21207,17565,17565
Scott, Kentucky,21209,47173,47096
Shelby, Kentucky,21211,42074,41971
Simpson, Kentucky,21213,17327,17329
Spencer, Kentucky,21215,17061,17142
Taylor, Kentucky,21217,24512,24511
Todd, Kentucky,21219,12460,12463
Trigg, Kentucky,21221,14339,14327
Trimble, Kentucky,21223,8809,8809
Union, Kentucky,21225,15007,15007
Warren, Kentucky,21227,113792,113781
Washington, Kentucky,21229,11717,11713
Wayne, Kentucky,21231,20813,20813
Webster, Kentucky,21233,13621,13621
Whitley, Kentucky,21235,35637,35633
Wolfe, Kentucky,21237,7355,7355
Woodford, Kentucky,21239,24939,24946
Acadia, Louisiana,22001,61773,61787
Allen, Louisiana,22003,25764,25747
Ascension, Louisiana,22005,107215,107215
Assumption, Louisiana,22007,23421,23416
Avoyelles, Louisiana,22009,42073,42071
Beauregard, Louisiana,22011,35654,35651
Bienville, Louisiana,22013,14353,14353
Bossier, Louisiana,22015,116979,117036
Caddo, Louisiana,22017,254969,254914
Calcasieu, Louisiana,22019,192768,192772
Caldwell, Louisiana,22021,10132,10126
Cameron, Louisiana,22023,6839,6868
Catahoula, Louisiana,22025,10407,10407
Claiborne, Louisiana,22027,17195,17195
Concordia, Louisiana,22029,20822,20822
De Soto, Louisiana,22031,26656,26656
East Baton Rouge, Louisiana,22033,440171,440525
East Carroll, Louisiana,22035,7759,7759
East Feliciana, Louisiana,22037,20267,20260
Evangeline, Louisiana,22039,33984,33988
Franklin, Louisiana,22041,20767,20767
Grant, Louisiana,22043,22309,22309
Iberia, Louisiana,22045,73240,73087
Iberville, Louisiana,22047,33387,33404
Jackson, Louisiana,22049,16274,16272
Jefferson, Louisiana,22051,432552,432576
Jefferson Davis, Louisiana,22053,31594,31592
Lafayette, Louisiana,22055,221578,221778
Lafourche, Louisiana,22057,96318,96642
LaSalle, Louisiana,22059,14890,14890
Lincoln, Louisiana,22061,46735,46740
Livingston, Louisiana,22063,128026,127674
Madison, Louisiana,22065,12093,12101
Morehouse, Louisiana,22067,27979,27979
Natchitoches, Louisiana,22069,39566,39569
Orleans, Louisiana,22071,343829,343828
Ouachita, Louisiana,22073,153720,153734
Plaquemines, Louisiana,22075,23042,23035
Pointe Coupee, Louisiana,22077,22802,22808
Rapides, Louisiana,22079,131613,131609
Red River, Louisiana,22081,9091,9091
Richland, Louisiana,22083,20725,20722
Sabine, Louisiana,22085,24233,24226
St. Bernard, Louisiana,22087,35897,35897
St. Charles, Louisiana,22089,52780,52888
St. Helena, Louisiana,22091,11203,11205
St. James, Louisiana,22093,22102,22101
St. John the Baptist, Louisiana,22095,45924,45810
St. Landry, Louisiana,22097,83384,83390
St. Martin, Louisiana,22099,52160,52122
St. Mary, Louisiana,22101,54650,54647
St. Tammany, Louisiana,22103,233740,233756
Tangipahoa, Louisiana,22105,121097,121109
Tensas, Louisiana,22107,5252,5250
Terrebonne, Louisiana,22109,111860,111543
Union, Louisiana,22111,22721,22774
Vermilion, Louisiana,22113,57999,57959
Vernon, Louisiana,22115,52334,52361
Washington, Louisiana,22117,47168,47140
Webster, Louisiana,22119,41207,41207
West Baton Rouge, Louisiana,22121,23788,23785
West Carroll, Louisiana,22123,11604,11604
West Feliciana, Louisiana,22125,15625,15625
Winn, Louisiana,22127,15313,15313
Androscoggin, Maine,23001,107702,107709
Aroostook, Maine,23003,71870,71873
Cumberland, Maine,23005,281674,281690
Franklin, Maine,23007,30768,30767
Hancock, Maine,23009,54418,54408
Kennebec, Maine,23011,122151,122154
Knox, Maine,23013,39736,39734
Lincoln, Maine,23015,34457,34445
Oxford, Maine,23017,57833,57830
Penobscot, Maine,23019,153923,153931
Piscataquis, Maine,23021,17535,17535
Sagadahoc, Maine,23023,35293,35287
Somerset, Maine,23025,52228,52222
Waldo, Maine,23027,38786,38787
Washington, Maine,23029,32856,32855
York, Maine,23031,197131,197131
Allegany, Maryland,24001,75087,75047
Anne Arundel, Maryland,24003,537656,537631
Baltimore, Maryland,24005,805029,805324
Calvert, Maryland,24009,88737,88739
Caroline, Maryland,24011,33066,33078
Carroll, Maryland,24013,167134,167141
Cecil, Maryland,24015,101108,101102
Charles, Maryland,24017,146551,146564
Dorchester, Maryland,24019,32618,32623
Frederick, Maryland,24021,233385,233403
Garrett, Maryland,24023,30097,30139
Harford, Maryland,24025,244826,244824
Howard, Maryland,24027,287085,287123
Kent, Maryland,24029,20197,20195
Montgomery, Maryland,24031,971777,971284
Prince George's, Maryland,24033,863420,864029
Queen Anne's, Maryland,24035,47798,47785
St. Mary's, Maryland,24037,105151,105144
Somerset, Maryland,24039,26470,26470
Talbot, Maryland,24041,37782,37781
Washington, Maryland,24043,147430,147417
Wicomico, Maryland,24045,98733,98733
Worcester, Maryland,24047,51454,51448
Baltimore city, Maryland,24510,620961,620770
Barnstable, Massachusetts,25001,215888,215880
Berkshire, Massachusetts,25003,131219,131274
Bristol, Massachusetts,25005,548285,548242
Dukes, Massachusetts,25007,16535,16535
Essex, Massachusetts,25009,743159,743082
Franklin, Massachusetts,25011,71372,71381
Hampden, Massachusetts,25013,463490,463615
Hampshire, Massachusetts,25015,158080,158063
Middlesex, Massachusetts,25017,1503085,1503133
Nantucket, Massachusetts,25019,10172,10172
Norfolk, Massachusetts,25021,670850,670910
Plymouth, Massachusetts,25023,494919,494932
Suffolk, Massachusetts,25025,722023,722183
Worcester, Massachusetts,25027,798552,798383
Alcona, Michigan,26001,10942,10943
Alger, Michigan,26003,9601,9601
Allegan, Michigan,26005,111408,111400
Alpena, Michigan,26007,29598,29594
Antrim, Michigan,26009,23580,23574
Arenac, Michigan,26011,15899,15903
Baraga, Michigan,26013,8860,8866
Barry, Michigan,26015,59173,59177
Bay, Michigan,26017,107771,107773
Benzie, Michigan,26019,17525,17526
Berrien, Michigan,26021,156813,156808
Branch, Michigan,26023,45248,45242
Calhoun, Michigan,26025,136146,136150
Cass, Michigan,26027,52293,52289
Charlevoix, Michigan,26029,25949,25955
Cheboygan, Michigan,26031,26152,26145
Chippewa, Michigan,26033,38520,38672
Clare, Michigan,26035,30926,30924
Clinton, Michigan,26037,75382,75364
Crawford, Michigan,26039,14074,14081
Delta, Michigan,26041,37069,37069
Dickinson, Michigan,26043,26168,26168
Eaton, Michigan,26045,107759,107761
Emmet, Michigan,26047,32694,32694
Genesee, Michigan,26049,425790,425787
Gladwin, Michigan,26051,25692,25698
Gogebic, Michigan,26053,16427,16424
Grand Traverse, Michigan,26055,86986,86983
Gratiot, Michigan,26057,42476,42478
Hillsdale, Michigan,26059,46688,46691
Houghton, Michigan,26061,36628,36625
Huron, Michigan,26063,33118,33118
Ingham, Michigan,26065,280895,280891
Ionia, Michigan,26067,63905,63901
Iosco, Michigan,26069,25887,25893
Iron, Michigan,26071,11817,11817
Isabella, Michigan,26073,70311,70313
Jackson, Michigan,26075,160248,160233
Kalamazoo, Michigan,26077,250331,250327
Kalkaska, Michigan,26079,17153,17147
Kent, Michigan,26081,602622,602625
Keweenaw, Michigan,26083,2156,2156
Lake, Michigan,26085,11539,11544
Lapeer, Michigan,26087,88319,88316
Leelanau, Michigan,26089,21708,21711
Lenawee, Michigan,26091,99892,99899
Livingston, Michigan,26093,180967,180964
Luce, Michigan,26095,6631,6631
Mackinac, Michigan,26097,11113,11114
Macomb, Michigan,26099,840978,841039
Manistee, Michigan,26101,24733,24747
Marquette, Michigan,26103,67077,67071
Mason, Michigan,26105,28705,28689
Mecosta, Michigan,26107,42798,42798
Menominee, Michigan,26109,24029,24029
Midland, Michigan,26111,83629,83621
Missaukee, Michigan,26113,14849,14851
Monroe, Michigan,26115,152021,152031
Montcalm, Michigan,26117,63342,63342
Montmorency, Michigan,26119,9765,9760
Muskegon, Michigan,26121,172188,172194
Newaygo, Michigan,26123,48460,48459
Oakland, Michigan,26125,1202362,1202384
Oceana, Michigan,26127,26570,26570
Ogemaw, Michigan,26129,21699,21688
Ontonagon, Michigan,26131,6780,6780
Osceola, Michigan,26133,23528,23526
Oscoda, Michigan,26135,8640,8638
Otsego, Michigan,26137,24164,24167
Ottawa, Michigan,26139,263801,263795
Presque Isle, Michigan,26141,13376,13380
Roscommon, Michigan,26143,24449,24448
Saginaw, Michigan,26145,200169,200169
St. Clair, Michigan,26147,163040,163051
St. Joseph, Michigan,26149,61295,61303
Sanilac, Michigan,26151,43114,43106
Schoolcraft, Michigan,26153,8485,8485
Shiawassee, Michigan,26155,70648,70668
Tuscola, Michigan,26157,55729,55722
Van Buren, Michigan,26159,76258,76269
Washtenaw, Michigan,26161,344791,345163
Wayne, Michigan,26163,1820584,1820473
Wexford, Michigan,26165,32735,32735
Aitkin, Minnesota,27001,16202,16192
Anoka, Minnesota,27003,330844,330858
Becker, Minnesota,27005,32504,32506
Beltrami, Minnesota,27007,44442,44443
Benton, Minnesota,27009,38451,38451
Big Stone, Minnesota,27011,5269,5268
Blue Earth, Minnesota,27013,64013,64013
Brown, Minnesota,27015,25893,25893
Carlton, Minnesota,27017,35386,35386
Carver, Minnesota,27019,91042,91086
Cass, Minnesota,27021,28567,28565
Chippewa, Minnesota,27023,12441,12443
Chisago, Minnesota,27025,53887,53890
Clay, Minnesota,27027,58999,58999
Clearwater, Minnesota,27029,8695,8695
Cook, Minnesota,27031,5176,5176
Cottonwood, Minnesota,27033,11687,11687
Crow Wing, Minnesota,27035,62500,62512
Dakota, Minnesota,27037,398552,398590
Dodge, Minnesota,27039,20087,20087
Douglas, Minnesota,27041,36009,36011
Faribault, Minnesota,27043,14553,14553
Fillmore, Minnesota,27045,20866,20868
Freeborn, Minnesota,27047,31255,31254
Goodhue, Minnesota,27049,46183,46184
Grant, Minnesota,27051,6018,6018
Hennepin, Minnesota,27053,1152425,1152385
Houston, Minnesota,27055,19027,19020
Hubbard, Minnesota,27057,20428,20427
Isanti, Minnesota,27059,37816,37810
Itasca, Minnesota,27061,45058,45058
Jackson, Minnesota,27063,10266,10266
Kanabec, Minnesota,27065,16239,16244
Kandiyohi, Minnesota,27067,42239,42239
Kittson, Minnesota,27069,4552,4552
Koochiching, Minnesota,27071,13311,13314
Lac qui Parle, Minnesota,27073,7259,7258
Lake, Minnesota,27075,10866,10862
Lake of the Woods, Minnesota,27077,4045,4045
Le Sueur, Minnesota,27079,27703,27701
Lincoln, Minnesota,27081,5896,5895
Lyon, Minnesota,27083,25857,25858
McLeod, Minnesota,27085,36651,36645
Mahnomen, Minnesota,27087,5413,5413
Marshall, Minnesota,27089,9439,9439
Martin, Minnesota,27091,20840,20843
Meeker, Minnesota,27093,23300,23298
Mille Lacs, Minnesota,27095,26097,26097
Morrison, Minnesota,27097,33198,33198
Mower, Minnesota,27099,39163,39167
Murray, Minnesota,27101,8725,8725
Nicollet, Minnesota,27103,32727,32729
Nobles, Minnesota,27105,21378,21378
Norman, Minnesota,27107,6852,6845
Olmsted, Minnesota,27109,144248,144268
Otter Tail, Minnesota,27111,57303,57301
Pennington, Minnesota,27113,13930,13930
Pine, Minnesota,27115,29750,29747
Pipestone, Minnesota,27117,9596,9597
Polk, Minnesota,27119,31600,31600
Pope, Minnesota,27121,10995,10993
Ramsey, Minnesota,27123,508640,508639
Red Lake, Minnesota,27125,4089,4089
Redwood, Minnesota,27127,16059,16058
Renville, Minnesota,27129,15730,15728
Rice, Minnesota,27131,64142,64143
Rock, Minnesota,27133,9687,9686
Roseau, Minnesota,27135,15629,15629
St. Louis, Minnesota,27137,200226,200229
Scott, Minnesota,27139,129928,129908
Sherburne, Minnesota,27141,88499,88492
Sibley, Minnesota,27143,15226,15234
Stearns, Minnesota,27145,150642,150642
Steele, Minnesota,27147,36576,36581
Stevens, Minnesota,27149,9726,9722
Swift, Minnesota,27151,9783,9781
Todd, Minnesota,27153,24895,24895
Traverse, Minnesota,27155,3558,3558
Wabasha, Minnesota,27157,21676,21665
Wadena, Minnesota,27159,13843,13843
Waseca, Minnesota,27161,19136,19138
Washington, Minnesota,27163,238136,238109
Watonwan, Minnesota,27165,11211,11211
Wilkin, Minnesota,27167,6576,6576
Winona, Minnesota,27169,51461,51461
Wright, Minnesota,27171,124700,124697
Yellow Medicine, Minnesota,27173,10438,10438
Adams, Mississippi,28001,32297,32300
Alcorn, Mississippi,28003,37057,37062
Amite, Mississippi,28005,13131,13136
Attala, Mississippi,28007,19564,19562
Benton, Mississippi,28009,8729,8728
Bolivar, Mississippi,28011,34145,34153
Calhoun, Mississippi,28013,14962,14957
Carroll, Mississippi,28015,10597,10597
Chickasaw, Mississippi,28017,17392,17392
Choctaw, Mississippi,28019,8547,8551
Claiborne, Mississippi,28021,9604,9597
Clarke, Mississippi,28023,16732,16728
Clay, Mississippi,28025,20634,20648
Coahoma, Mississippi,28027,26151,26145
Copiah, Mississippi,28029,29449,29448
Covington, Mississippi,28031,19568,19573
DeSoto, Mississippi,28033,161252,161267
Forrest, Mississippi,28035,74934,74862
Franklin, Mississippi,28037,8118,8118
George, Mississippi,28039,22578,22583
Greene, Mississippi,28041,14400,14391
Grenada, Mississippi,28043,21906,21898
Hancock, Mississippi,28045,43929,44023
Harrison, Mississippi,28047,187105,187109
Hinds, Mississippi,28049,245285,245364
Holmes, Mississippi,28051,19198,19483
Humphreys, Mississippi,28053,9375,9373
Issaquena, Mississippi,28055,1406,1399
Itawamba, Mississippi,28057,23401,23401
Jackson, Mississippi,28059,139668,139669
Jasper, Mississippi,28061,17062,17073
Jefferson, Mississippi,28063,7726,7732
Jefferson Davis, Mississippi,28065,12487,12471
Jones, Mississippi,28067,67761,67768
Kemper, Mississippi,28069,10456,10438
Lafayette, Mississippi,28071,47351,47361
Lamar, Mississippi,28073,55658,55732
Lauderdale, Mississippi,28075,80261,80280
Lawrence, Mississippi,28077,12929,12951
Leake, Mississippi,28079,23805,23803
Lee, Mississippi,28081,82910,82910
Leflore, Mississippi,28083,32317,32382
Lincoln, Mississippi,28085,34869,34866
